label,child talk,parent talk
reflection,i'm landing my helicopter,ok you 're landing it
labelled_praise,,good job staying in your seat
question,,can i play with you
behavior_description,,you found another arm
question,sometimes they,sometimes
behavior_description,,you made that car go fast
behavior_description,,you have all the blue pieces
behavior_description,,you put this block over here
question,,how fast can you pick up the blocks
neutral_talk,can i draw some flowers,you can draw flowers if you want
command,,i want you to play blocks with me
reflection,the train moves on the track and stops at the stop sign,the train stops at the stop sign after it moves on the track
neutral_talk,,this block is yellow
behavior_description,,you drew a cat
command,,put the paper in the wastebasket
question,,do you want to play with the legos
command,,come sit down
question,,what does the dolly say to the bear
command,i made the mommy horse,you can draw a pony now
negative_talk,,no it does n't go that way
question,,you put all the blocks away huh
command,,will you draw a circle like this
command,,wait
neutral_talk,,when you sit down i will tie your shoe
negative_talk,,you 're bad at that
unlabelled_praise,,lovely
command,,do it
labelled_praise,,i like the way you 're trying to fit it in
neutral_talk,,you decided i should use blue
command,,please put it away
reflection,,yes you colored him blue
neutral_talk,,well
command,,it 's time for you to pick up
negative_talk,,i do n't think it goes like that
question,,this one is the mommy right
neutral_talk,i want some ice cream on the way home,no it would spoil your dinner
neutral_talk,,we need a plate for the donut
behavior_description,,you made a burger
reflection,and,and
reflection,cool trucks,those are cool trucks
reflection,pink bear,oh yeah pink bear
neutral_talk,,i am going to add this block
neutral_talk,why are you doing that,i want these on the outside
command,yeah,can you help me build a wall
neutral_talk,,"squish , squish , squish"
command,pine green i like pine green,will you wait a minute
negative_talk,,cows are n't green
question,,you want pink again
behavior_description,,wow you almost finished the whole puzzle
command,,make one for mama
command,,why do n't we make a house and make it big and make it red
neutral_talk,,the cow is going to the barn
reflection,this is a big block,that is a big block
neutral_talk,,the horse is walking
neutral_talk,i do n't know where his hat is,i do n't know either
unlabelled_praise,,good going
behavior_description,,we got it to fit
reflection,i like this car,you like that car
neutral_talk,,it 's hard to build lincon logs
question,yup,what do you have
command,,how bout how bout putting the other arm on the other side
negative_talk,i have a blue block,no that is red
labelled_praise,,awesome job using gentle hands
neutral_talk,bubbles,i can take the toy
neutral_talk,one,the piece is there
labelled_praise,,you did know the right answer
question,,you think we can do that
negative_talk,dad the bus driver yelled at me again today,he 's a creep
labelled_praise,,you are so brave for playing with a new toy
neutral_talk,build a wall,i do n't want to build a wall
neutral_talk,i'm going to the bathroom,do n't talk to strangers
command,,leave that alone
neutral_talk,maybe these,"oh , okay"
question,,do you know how to do this
negative_talk,,whatever
neutral_talk,this one goes there,right there
reflection,my dolly wants the red scarf,your dolly wants my dolly 's scarf
question,,what do you want to do
command,mumbled what,can you find another one like this
reflection,i'm going to make this tower really tall so the knights and princesses can live here,wow for the knights and princesses
command,,hurry up
negative_talk,,i do n't think you did it right
neutral_talk,,it 's five oclock
question,,are you going to the toy box
command,,will you sit next to me
negative_talk,draws a purple giraffe,giraffes are not purple
question,,what is this color
neutral_talk,and we went to mcdonalds to get an ice cream,and i got an ice tea
negative_talk,,we 're not supposed to yell
negative_talk,,do n't play so rough
question,,if i turn the handle will it go
unlabelled_praise,i m gonna have this one and you can have i m gonna have this one and you can have both these two,"oh , thanks"
command,,get off the table
labelled_praise,,now that 's what i call a great work of art
behavior_description,,drawing a fish
command,i want to play nerf ball,can you find one
labelled_praise,,thanks for handing me that
neutral_talk,,i found a purple one
reflection,this piece do n't fit,this piece does n't fit
negative_talk,4 4 is 9,no honey it 's eight
negative_talk,,do n't touch any of the toys
reflection,you are funny,funny
question,i need all french fries to be in here,you re taking all the french fries
command,he did it,pass me the toy
labelled_praise,,thanks for bringing some
labelled_praise,,"oh , you did it gently"
neutral_talk,,i have the crayons
command,,do you want to pick up the toys
command,,we 're going to pick up the tinker toys
labelled_praise,,you 're considerate to share your crayons
command,i want to go to it,take this
question,yeah,yeah
reflection,this is my favorite toy,you like this toy the most
unlabelled_praise,,first rate
command,,sing the alphabet song
neutral_talk,i dont wanna play catch,i'm looking for a green piece
behavior_description,,jennie likes to play with legos
negative_talk,book,no but it is a really good picture
behavior_description,(child sitting down),you 're sitting in the chair
neutral_talk,here 's a piece for you,i have three pieces now
neutral_talk,,i'm not sure when we 'll be finished with this task
