Speaker,Utterance
child,i want to play restaurant
parent,you want to play restaurant
parent,you did a great job keeping your hands and feet to yourself
parent,that 's not how you are suppose to do that
child,that was
parent,i am playing
child,it s inaudible
parent,yes
parent,you 're holding mr potato head
parent,thanks for letting me play with you
child,two bandaids
parent,thank you for asking nicely
parent,that wo n't work like that
parent,you 're coloring the bear
parent,super idea
child,i made you some tea
parent,ew i do n't like tea with tomatoes in it
parent,your teacher loves your artwork
child,it 's not working
parent,i know you need to push it forward
parent,these cars go really fast
parent,i need an o
parent,i love to eat pie
parent,good job using your words
child,what are the rules in this game
parent,people are supposed to take turns
parent,do you know what
child,where
parent,the green one all the way over
parent,why are the cats sleeping on the floor
parent,no
parent,let 's sit here (indirect)
child,when are you going to take those out
parent,when am i going to take that out
parent,suns are n't purple so do n't color that purple
parent,we 're going shopping later
parent,these are cool cars
parent,you drew a smiling face
parent,sit on the chair
child,(child sorts out the red blocks)
parent,you got all the red blocks for the castle
parent,you are being very different here today
parent,pick another paper then
child,moo moo
parent,moo moo
parent,you are so gentle with the animals
parent,i think we need some more food
child,it won t do it
parent,"oh , you did it"
child,i do n't like this game
parent,you told me before that it is your favorite game
parent,how many blocks do we have
parent,you 're using the short ones for this fort
child,jerrys car
parent,you looking for the other piece
parent,i am going to sit in my chair
parent,you put that away so fast
parent,well done
parent,you are reaching for the cupcake
parent,you drew a purple cat
parent,big rocket
parent,i said clean that up
parent,make a castle
child,"well not , well i didn t remember him , but"
parent,but he was mean
child,crayons crash
parent,i wonder where it is
parent,now we get to the good part
child,mom all red nose in the
parent,you are pushing the car
child,this is yellow
parent,that is yellow
child,here it is
parent,there it is
child,i'm building an ugly fence
parent,you 're building an ugly fence
parent,these are farm animals
child,i m going to get some food to eat
parent,good idea to get some food to eat
parent,if you do n't start coloring like i asked you 'll have to sit in the time out chair
parent,uh oh
parent,you 're crashing the cars
parent,the cow says moo
parent,did you say
child,cow
parent,a cow
parent,that 's not the way you do it
child,i wanna take it out on tomorrow
parent,thank you for handing me that
parent,we have lots of toys to choose from
child,i'm using all the red blocks
parent,your using all of the red blocks
parent,you 're drawing a circle
child,put this here
parent,you want me to put this here
parent,you got the cow out of the barn
child,child throws toy
parent,do n't throw the toy
parent,go now
parent,stop throwing the toys
parent,good job mixing it
child,i got another one
parent,i 'll get another one too
parent,do n't climb on that
parent,please put the yellow one away okay
parent,you 're so pretty
child,uh oh
parent,"uh oh , uh oh"
parent,please put the toys away
parent,your sister loves it when you share like this
child,i went really fast
parent,that was fast
parent,you 're annoying me
child,i want to draw
parent,ok you want to draw
child,why did she put stinky feet on him
parent,i don t know
parent,we got two more holes
child,i say no know
parent,you are such a good helper
parent,put that piece here
parent,do you like these blocks
parent,look
parent,put this block on next
parent,like this
child,the cow says moo
parent,yes the cow does say moo
child,yep
parent,yay
parent,you re doing a really good job playing with potato head
child,(child spills the box of crayons)
parent,(sarcastic tone) not again
parent,awesome job building that
parent,i would be very surprised if her elf s name was salsa
child,this is red
parent,you 're wrong
parent,oh my
parent,thank you for putting the donut on my plate
parent,i am going to make one too
parent,do n't go outside the lines
parent,can we play with another toy now
child,these cars are getting ready to race
parent,the cars are ready
parent,can you hand me one
child,(puts boy in the house)
parent,the boy is going into the house
parent,do you want me to try
parent,use your inside voice
parent,i m going to do just like you
parent,i like bananas
parent,hand me that
parent,your dad made a nice sail
parent,thanks for giving me a piece
child,there
parent,is there another one
parent,thanks for picking those up
parent,you are pretty tall
parent,you and i are working together on this picture
parent,in a tower
child,i want to play cars
parent,their cars are wonderful
child,i need to put his ears in
parent,"oh , yeah"
parent,we colored it just right
child,tells a story about something that happened over the weekend
parent,you 're lying
parent,you put it down
child,this big red car is super super fast
parent,that red car is really fast
parent,please hand me the hippopotamus
child,who can you hear
parent,i can t hear anyone actually right now
child,there is milk and juice and tea
parent,milk juice tea
parent,with these ones
parent,"that one s not going , silly"
parent,he is taking out the firehouse
parent,we found one
child,i wonder what to build
parent,you 're wondering what to build
child,(child and parent clean up together)
parent,we 're cleaning up together
